champion,win,total_minions_killed,kills,assists,damage_dealt,total_healing,first_blood_kill,first_tower_kill,first_dragon,first_blood_win,first_tower_win,first_dragon_win,vision_score,game_duration
Leblanc,0.495238095,147.3496599,6.239115646,6.49047619,91251.87347,4311.942857,0.103061224,0.017687075,0.499319728,0.587458746,0.634615385,0.63147139,21.0462585,1508.078231
Yuumi,0.44554849,8.351748808,1.72972973,13.40302067,17667.29491,12326.10453,0.028616852,0.013116057,0.378378378,0.472222222,0.757575758,0.616596639,35.43402226,1452.32035
Aatrox,0.477088949,151.6424079,4.375336927,5.255840072,108895.7275,9415.202606,0.070080863,0.04492363,0.478885894,0.580128205,0.67,0.621013133,18.35579515,1488.459569
Sylas,0.474011713,112.2714129,5.703879941,6.337298682,103748.4407,9932.759151,0.096632504,0.035871157,0.436859444,0.613636364,0.68877551,0.639715124,19.41526354,1489.080527
Varus,0.5101643,178.4695071,5.750208855,7.329434698,120726.0446,1853.692565,0.087719298,0.059871902,0.484544695,0.60952381,0.669767442,0.652298851,23.46895015,1512.335561
Senna,0.514076978,63.73948681,3.857982894,10.85495367,56866.36992,9177.241803,0.062544547,0.038845331,0.471667855,0.575498575,0.779816514,0.662259161,44.5821454,1494.081789
Ezreal,0.493394686,173.4392163,5.480926228,6.447973876,123917.3594,1543.598634,0.096185246,0.039631884,0.449903518,0.61882716,0.801498127,0.644671726,18.40062342,1506.701351
Lissandra,0.492682927,153.4943089,4.702439024,9.689430894,111437.3317,2687.843902,0.048780488,0.040650407,0.422764228,0.533333333,0.56,0.626923077,18.05691057,1461.82439
Akali,0.497856122,159.8532635,6.468794664,5.217722725,106015.9519,5836.400667,0.095283468,0.026679371,0.470700333,0.54,0.714285714,0.652834008,17.93044307,1497.590281
RekSai,0.509704027,23.81198447,5.742600679,6.765890344,124426.3894,11544.62373,0.175400291,0.108685104,0.530082484,0.614107884,0.629464286,0.643478261,32.1069869,1518.116206
Lucian,0.481728683,176.2664776,5.41898882,5.936926414,127688.3801,1883.91123,0.122309361,0.0574003,0.497580511,0.564802183,0.706395349,0.610999329,22.30568997,1516.170365
Ekko,0.500282114,78.89448937,6.47940568,6.547865338,137503.3259,11048.11868,0.094226067,0.063381606,0.424299417,0.630738523,0.703264095,0.656914894,23.77167576,1504.596577
Maokai,0.517165814,119.2352082,2.811541271,9.510591673,86155.60774,8568.634039,0.058436815,0.023374726,0.463842221,0.6125,0.6875,0.670866142,17.78743608,1463.115413
Jayce,0.500481696,163.3916185,5.45327553,6.766859345,122128.9253,2448.986994,0.096820809,0.065510597,0.447495183,0.626865672,0.676470588,0.648008611,23.51011561,1477.461464
Renekton,0.500245459,175.5321551,4.261168385,5.520864016,124064.6561,6570.738586,0.102356406,0.079774178,0.489936181,0.592326139,0.612307692,0.642284569,20.14285714,1506.57732
Sivir,0.476618705,165.5233813,5.886690647,11.8705036,138510.009,2112.872302,0.097122302,0.055755396,0.357913669,0.518518519,0.741935484,0.633165829,15.59892086,1424.088129
Elise,0.528026672,25.16003334,5.694728068,7.510939779,116221.9402,6662.98583,0.182121275,0.104396749,0.489685351,0.598398169,0.662674651,0.668510638,36.79974995,1516.963742
TahmKench,0.543818466,60.61189358,1.550078247,9.712050078,32358.28482,4324.760172,0.047730829,0.020735524,0.496087637,0.581967213,0.79245283,0.690063091,37.22300469,1497.501174
Viktor,0.510534846,162.4748784,5.855753647,8.670988655,131644.7585,1794.254457,0.074554295,0.030794165,0.398703404,0.586956522,0.789473684,0.634146341,17.93517018,1502.680713
Alistar,0.524916944,28.23421927,1.951827243,12.79401993,21326.0108,6738.730066,0.037375415,0.007475083,0.418604651,0.622222222,0.555555556,0.676587302,44.0166113,1458.966777
Kalista,0.516107155,178.487962,5.950491692,6.260427263,125107.6985,2655.985419,0.15768057,0.07290607,0.520854527,0.587096774,0.655813953,0.634765625,22.4581214,1464.123432
LeeSin,0.495607695,25.54686979,6.075614367,7.769709774,123076.2058,6526.834872,0.187590348,0.07917269,0.561881463,0.612922347,0.691011236,0.617257075,25.15689981,1505.352274
Mordekaiser,0.479811838,154.9255194,4.815366523,5.045080361,112293.3156,6481.823207,0.061936495,0.029400235,0.506076049,0.575949367,0.64,0.606506584,17.37671501,1502.012152
Nautilus,0.487647452,38.46694859,1.843534387,10.27976853,28354.03071,1073.742933,0.058312931,0.007789895,0.49922101,0.515267176,0.714285714,0.625947392,46.94591587,1496.195415
Zoe,0.518805627,158.3766868,5.452483491,7.001722653,110990.5426,3769.475739,0.100775194,0.031869078,0.54005168,0.632478632,0.765765766,0.632642212,20.72351421,1511.563882
Poppy,0.494964029,111.5805755,3.961151079,7.736690647,92954.98849,3488.336691,0.112230216,0.04028777,0.450359712,0.506410256,0.660714286,0.637380192,22.63884892,1524.281295
Shen,0.516245487,92.96389892,3.143501805,10.85830325,60780.16065,2211.83935,0.074909747,0.01534296,0.492779783,0.578313253,0.823529412,0.642857143,30.72111913,1507.579422
Sett,0.505501317,131.4311173,4.216643422,6.350844568,96930.01131,2767.830311,0.111421044,0.080272741,0.474043081,0.598052851,0.67953668,0.647924158,24.56144429,1496.692546
Gangplank,0.486329743,172.963546,4.370339685,7.574150787,163427.5145,6134.986744,0.101077051,0.057995029,0.472245236,0.647540984,0.671428571,0.638596491,17.49544325,1511.96686
MissFortune,0.514938731,188.7490018,5.431226766,7.050530084,137766.7206,1279.454082,0.091697646,0.058378081,0.46551012,0.624624625,0.75,0.658680864,21.90031667,1514.883795
Zac,0.488248673,59.15390447,3.53373768,10.26914329,93692.91736,24423.49583,0.053070508,0.028809704,0.375284306,0.514285714,0.710526316,0.682828283,26.09097801,1495.014405
Yasuo,0.464908359,165.3383996,5.728654448,6.24228878,132401.0143,3636.534198,0.125614662,0.037997318,0.429593205,0.583629893,0.729411765,0.614984391,17.28922664,1490.142155
Kaisa,0.480062375,178.3459568,6.302294498,6.316997104,124927.5917,2261.367565,0.149030965,0.040766318,0.4624638,0.569506726,0.737704918,0.629576108,20.31009133,1490.926933
Anivia,0.498127341,135.8314607,4.842696629,9.857677903,98599.23596,3742.101124,0.048689139,0.014981273,0.374531835,0.538461538,0.5,0.69,17.01498127,1448.11236
MonkeyKing,0.529754959,122.4679113,6.274212369,6.739789965,102404.7981,4237.61727,0.15285881,0.072345391,0.422403734,0.610687023,0.64516129,0.718232044,18.37339557,1477.453909
Olaf,0.5082769,49.6772009,5.700526712,6.043265613,135940.3721,9121.41234,0.138826185,0.09668924,0.603837472,0.628726287,0.700389105,0.614953271,26.05492852,1503.288939
Yorick,0.488372093,161.5465116,4.209302326,7.197674419,132265.7791,5734.360465,0.046511628,0.093023256,0.372093023,1,0.625,0.53125,15.3372093,1495.94186
Tristana,0.469387755,148.2102041,7.42244898,7.428571429,123304.8776,2013.761224,0.130612245,0.081632653,0.402040816,0.59375,0.55,0.649746193,17.14489796,1434.155102
Taric,0.546847378,34.03358869,1.319976429,12.30111962,26774.16618,9774.275192,0.044784915,0.017678256,0.502062463,0.605263158,0.866666667,0.666666667,41.14790807,1467.42251
Kindred,0.526051475,60.20715631,6.743879473,7.263025738,130976.5838,9242.898933,0.209667294,0.087256748,0.507219083,0.673652695,0.748201439,0.65470297,25.50094162,1457.610797
Irelia,0.466260916,185.3252183,5.643821117,4.941783541,130861.118,5855.685631,0.134691717,0.048160889,0.48081503,0.583497053,0.692307692,0.596037424,17.74622916,1495.490606
Aphelios,0.506106322,181.7266523,5.417025862,6.212104885,134962.1577,2335.694504,0.081716954,0.101113506,0.506645115,0.610989011,0.760213144,0.636653669,20.65894397,1504.930316
Ashe,0.50039032,151.3567525,5.043715847,10.40671351,105005.0351,1912.857923,0.120218579,0.06557377,0.425448868,0.642857143,0.726190476,0.625688073,21.72521468,1464.73224
Gragas,0.476599064,29.94695788,4.514040562,8.922776911,113058.0878,9548.356474,0.094383775,0.058112324,0.409126365,0.574380165,0.691275168,0.635843661,33.56630265,1528.588924
Katarina,0.5,149.1391586,7.850323625,6.379449838,105751.1634,5057.065534,0.095469256,0.02184466,0.448220065,0.627118644,0.777777778,0.666064982,15.23786408,1481.966019
Darius,0.494089835,151.3814027,5.623325453,5.162332545,101484.3987,4498.990544,0.134751773,0.066193853,0.446020489,0.608187135,0.678571429,0.639575972,17.04097715,1499.62569
JarvanIV,0.4725,27.696,4.2795,12.1285,106476.46,6874.339,0.146,0.0675,0.507,0.551369863,0.644444444,0.603550296,30.475,1498.505
Pyke,0.487608841,45.47421299,6.15003349,7.715673141,28107.04052,3829.190891,0.071332887,0.01138647,0.465170797,0.596244131,0.705882353,0.616990641,55.16778299,1499.632954
Rakan,0.524084778,28.18432884,1.716763006,13.05973025,18975.45857,3725.635196,0.049454078,0.012845215,0.494540784,0.649350649,0.65,0.664935065,53.761079,1506.858703
Fiddlesticks,0.486780715,29.2192846,3.562986003,12.64696734,43312.19129,3042.211509,0.065318818,0.01088647,0.399688958,0.571428571,0.714285714,0.66536965,39.80093313,1446.664075
Pantheon,0.527930535,135.076411,5.925615051,7.297829233,95461.3152,3975.122721,0.170477569,0.022865412,0.511143271,0.604414261,0.594936709,0.664779162,22.09117221,1516.971346
Fiora,0.509608541,165.8839858,5.027046263,4.091103203,120433.6285,6547.744484,0.135231317,0.091814947,0.449822064,0.636842105,0.76744186,0.648734177,16.64911032,1456.572954
Graves,0.504352873,54.11375508,6.326755659,7.849680789,169005.3436,6380.416715,0.148578062,0.078932095,0.468949507,0.60546875,0.661764706,0.646039604,27.73766686,1522.009286
Thresh,0.511822422,30.09715297,1.64950941,12.01238539,20176.56555,1439.473862,0.062248673,0.009811806,0.518095544,0.57881137,0.639344262,0.634895995,51.4040534,1524.264597
Draven,0.47983871,162.6673387,5.95766129,6.945564516,125815.8125,1597.332661,0.133064516,0.088709677,0.47983871,0.575757576,0.840909091,0.605042017,18.32862903,1447.566532
Kassadin,0.520631068,156.8118932,6.962378641,5.933252427,110999.8677,6093.269417,0.038834951,0.018203883,0.398058252,0.5625,0.8,0.676829268,17.10800971,1458.908981
Rumble,0.479094624,131.1977366,4.756680289,7.820496699,92382.10751,2251.636278,0.077648538,0.015718328,0.509273813,0.534412955,0.7,0.618518519,26.40584722,1521.807922
Ivern,0.537234043,15.42021277,2.492021277,13.20478723,258795.4388,4680.06117,0.079787234,0.055851064,0.252659574,0.566666667,0.857142857,0.8,21.53723404,1435.851064
Bard,0.532597793,26.87412237,2.230190572,12.13189569,23543.86886,6154.195085,0.040371113,0.006268806,0.496238716,0.621118012,0.88,0.67963618,63.38966901,1517.108074
Morgana,0.468146027,29.34144596,2.454545455,12.91195419,28430.78525,2690.879742,0.057981389,0.008589835,0.423765211,0.555555556,0.916666667,0.581081081,45.11811024,1484.947029
Leona,0.487748851,32.08614089,1.653905054,10.53101072,21657.46746,1137.259188,0.049387443,0.011102603,0.513016845,0.565891473,0.724137931,0.626119403,51.37787136,1507.168836
Kennen,0.523508137,159.6202532,4.564195298,6.532549729,102107.0027,3455.801989,0.056057866,0.044303797,0.499095841,0.612903226,0.816326531,0.648550725,19.76311031,1504.976492
Karthus,0.516622922,50.82152231,7.150043745,8.720472441,171157.7122,9019.019248,0.11023622,0.052930884,0.504811899,0.654761905,0.628099174,0.656845754,21.3368329,1517.969379
Qiyana,0.518796992,130.3373206,7.285714286,6.250170882,107326.2389,4683.484962,0.114490772,0.021189337,0.439507861,0.626865672,0.741935484,0.691290824,30.66985646,1515.155844
Blitzcrank,0.502048417,28.86517691,2.13556797,11.02346369,21564.53035,1308.902048,0.046927374,0.011545624,0.444692737,0.53968254,0.741935484,0.661641541,46.88007449,1500.596276
Vladimir,0.522681452,167.3331653,4.779737903,5.777217742,121162.6003,19257.68044,0.051915323,0.024193548,0.450100806,0.54368932,0.770833333,0.681970885,16.34576613,1489.801411
Garen,0.518463811,150.9527326,5.82717873,5.143279173,108137.2614,2643.833826,0.098227474,0.074593796,0.420236337,0.639097744,0.742574257,0.671353251,17.2127031,1476.857459
Jinx,0.470642202,170.0036697,6.106422018,8.137614679,132754.0872,1911.621101,0.086238532,0.06146789,0.411009174,0.659574468,0.656716418,0.640625,17.85137615,1465.324771
Taliyah,0.512982196,75.36980712,6.352744807,8.389836795,121597.5319,6377.261499,0.142433234,0.048590504,0.451780415,0.606770833,0.717557252,0.671592775,29.04896142,1517.992211
Vayne,0.504983389,150.4559801,6.109634551,6.242524917,100128.0415,2402.024917,0.117109635,0.030730897,0.436046512,0.617021277,0.810810811,0.674285714,17.63704319,1455.442691
Galio,0.4952241,115.1756062,3.736223365,9.972079353,83525.88611,1469.53637,0.078618663,0.016899339,0.468772961,0.579439252,0.826086957,0.615987461,24.16605437,1478.367377
Fizz,0.517058378,151.2403336,7.13343442,6.13040182,92560.63609,2917.60652,0.100075815,0.026535254,0.451099318,0.606060606,0.657142857,0.653781513,24.76345716,1478.014405
Ahri,0.504385965,132.8318713,5.461988304,10.19883041,94224.45029,2815.372807,0.067251462,0.043859649,0.372807018,0.608695652,0.633333333,0.639215686,17.6125731,1496.950292
Nidalee,0.509810334,29.09973839,6.351863963,7.760954872,150086.9153,14649.32472,0.179529104,0.096795291,0.510137345,0.619307832,0.652027027,0.641025641,32.50163506,1475.308698
