gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
4247263043,1323,0,1,0,0,0,0,0,0,0,0,38,13,15,31,22,56039,37001,440,56,11.2,105,4,31035,5675,1,0,1,0,1,1,3,0,9,1,50,17,31,15,68,73016,49832,533,64,12.8,138,8,38711,60463
4247155821,1317,1,0,0,0,1,0,2,0,4,0,57,18,19,8,31,60243,41072,531,63,12.6,111,3,26397,45303,0,1,1,0,0,0,0,0,2,0,46,18,8,19,8,44218,37136,571,59,11.8,134,3,24829,14105
4243963257,932,0,0,0,0,0,0,0,0,0,0,28,7,5,20,8,24014,22929,306,42,8.4,64,0,6567,5651,1,1,1,0,1,1,2,0,5,1,40,9,20,5,20,30797,35364,400,50,10,89,5,12589,45201
4241678498,2098,0,0,0,1,1,0,1,1,2,0,129,39,26,36,45,101607,63447,774,80,16,226,3,24718,31019,1,1,1,0,0,0,3,1,6,0,96,56,36,26,72,125866,70528,832,84,16.8,205,9,65312,88202
4241538868,2344,1,1,1,1,1,1,2,2,11,3,114,35,27,40,47,134826,74955,831,83,16.6,252,5,37161,95287,0,0,0,0,0,0,3,1,6,1,100,43,40,27,83,131536,74596,794,85,17,227,7,86431,64141
4241394461,1567,1,1,1,0,0,1,2,0,8,1,65,23,26,18,43,59839,52221,576,66,13.2,171,9,40925,51855,0,0,0,0,1,0,1,0,2,0,58,18,18,26,34,64242,44280,555,61,12.2,140,3,23741,20132
4233222221,1686,0,0,1,0,0,0,0,0,2,0,72,26,16,31,30,70270,47107,601,65,13,136,5,20503,31788,1,1,0,1,1,1,4,1,7,1,72,29,31,16,59,78424,58032,640,73,14.6,214,5,31415,61040
4233113995,1588,1,1,1,1,0,1,2,1,10,2,79,39,36,20,88,102449,59163,613,71,14.2,157,7,28612,67404,0,0,0,0,1,0,2,0,1,0,76,28,20,36,30,62134,47408,608,63,12.6,133,5,27846,32107
4231100932,1618,1,1,1,1,0,1,3,1,8,1,89,57,26,25,44,77245,57940,704,71,14.2,144,5,29726,66468,0,0,0,0,1,0,1,0,2,0,96,33,25,26,34,69840,49906,646,69,13.8,159,6,32026,41601
4229230455,1126,1,0,1,0,1,0,1,0,4,0,43,20,20,11,34,56652,39014,486,57,11.4,115,5,17630,37483,0,1,0,0,0,0,0,0,1,0,47,19,11,20,13,32999,32064,461,53,10.6,92,3,23511,10775
4229039003,193,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,2128,4918,38,12,2.4,12,0,649,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2035,4834,48,13,2.6,20,0,1269,0
4228952659,1201,1,1,1,0,1,1,2,0,9,2,41,14,25,9,24,45993,47084,536,61,12.2,162,4,21964,57122,0,0,0,0,0,0,0,0,0,0,28,10,9,25,8,33147,29885,455,52,10.4,80,4,4943,2301
4228244819,1262,1,0,0,0,1,1,3,0,7,1,49,16,21,7,38,57342,42933,509,61,12.2,129,4,13040,48691,0,1,1,0,0,0,0,0,3,0,43,17,7,21,5,35272,35372,506,54,10.8,113,2,17891,24158
4227123625,1429,0,1,1,0,0,0,0,0,4,0,75,33,7,19,13,42979,41910,646,60,12,180,2,15575,35335,1,0,0,0,1,0,3,0,2,0,89,37,19,7,45,53831,41991,609,64,12.8,127,4,12916,26338
4222795586,1628,1,1,0,1,0,1,3,1,10,1,59,28,35,22,56,95259,59286,678,77,15.4,167,5,33304,74196,0,0,1,0,1,0,1,0,3,0,61,21,22,35,32,84061,47977,587,67,13.4,142,4,23507,30036
4222632382,1692,0,0,0,0,0,0,0,0,3,0,78,30,21,32,35,73488,51403,669,71,14.2,149,4,15986,14767,1,1,1,1,1,1,4,1,8,1,68,40,32,21,59,83497,58613,628,74,14.8,207,9,27026,74931
4219736584,1903,0,0,1,0,1,0,2,0,3,0,75,54,26,37,46,95379,57588,677,76,15.2,194,7,29205,40743,1,1,0,1,0,1,3,2,10,2,87,28,37,27,82,108905,66567,659,83,16.6,198,8,30483,104351
4219647531,1381,1,1,1,1,1,1,2,1,7,2,51,13,33,12,61,81469,50766,494,70,14,172,6,26137,62484,0,0,0,0,0,0,1,0,0,0,58,19,12,33,26,50824,38976,546,60,12,118,3,26272,13907
4219545724,1313,0,0,1,0,0,0,0,0,3,0,45,13,6,22,9,36087,35880,563,56,11.2,119,1,13059,26348,1,1,0,0,1,0,2,0,1,0,64,20,22,6,43,52924,39672,510,63,12.6,133,4,12252,29828
4219463634,1660,1,0,0,1,1,1,1,1,9,2,66,31,30,13,61,64708,58214,651,74,14.8,209,7,37288,64577,0,1,1,0,0,0,2,0,3,0,78,16,13,30,22,61745,46516,630,65,13,153,2,17005,37066
4217069365,1221,1,1,1,0,1,0,2,0,3,0,54,19,17,7,39,46638,38849,509,59,11.8,147,5,18752,39086,0,0,0,0,0,0,0,0,0,0,48,23,7,17,14,35700,31037,490,52,10.4,96,1,10715,7370
4216998163,1356,0,0,0,0,1,0,2,0,3,0,55,19,11,23,9,50734,38528,511,58,11.6,158,5,18855,25271,1,1,1,0,0,1,1,0,6,1,59,28,23,11,37,55948,44756,538,62,12.4,111,5,23136,54578
4214820366,1491,1,1,1,1,1,1,3,1,10,3,69,33,25,13,56,72693,51886,599,70,14,150,5,28385,69003,0,0,0,0,0,0,0,0,0,0,56,25,13,25,32,50704,41280,564,64,12.8,125,3,25530,11274
4208036316,1209,0,0,0,0,0,0,2,0,0,0,55,26,8,15,16,30467,31597,454,53,10.6,113,2,15413,20504,1,1,1,0,1,0,1,0,5,0,55,29,15,8,25,39955,39460,540,59,11.8,125,4,9494,38632
4205806443,2224,1,1,0,0,0,1,1,1,8,2,111,46,25,29,30,102663,69308,849,86,17.2,214,7,41308,77705,0,0,1,1,1,0,4,1,5,1,113,41,29,25,65,112704,70036,821,85,17,227,7,44888,76199
4205778093,984,1,1,1,0,1,0,2,0,5,0,55,9,26,3,34,45772,36545,402,53,10.6,102,6,14093,31303,0,0,0,0,0,0,0,0,0,0,33,11,3,26,5,25007,21444,304,41,8.2,51,1,10499,3085
4205718397,1222,1,0,0,0,1,1,2,0,6,1,53,12,23,9,37,51535,40199,475,61,12.2,120,6,18157,43921,0,1,1,0,0,0,0,0,1,0,49,16,9,23,11,39497,33417,478,53,10.6,107,2,12724,16780
4205609024,1835,1,0,1,1,0,1,1,2,11,3,85,42,26,13,50,81075,62067,730,80,16,162,7,37491,79526,0,1,0,0,1,0,3,0,2,0,88,39,13,26,22,86161,49262,686,68,13.6,171,4,45952,34582
4201063474,1437,0,1,1,0,1,0,2,0,3,0,75,23,19,24,22,79501,42395,528,60,12,96,5,23863,30643,1,0,0,0,0,0,1,0,4,0,70,32,23,19,39,71794,45798,565,68,13.6,150,7,47523,47150
4201002719,1430,0,0,0,0,0,0,0,0,2,0,66,24,10,23,11,44351,38762,559,61,12.2,129,3,34497,20162,1,1,1,0,1,0,4,0,5,0,68,29,23,10,39,58361,46649,612,66,13.2,153,3,21811,55636
4200860184,1215,1,1,1,0,1,0,2,0,3,0,53,15,26,12,36,58591,41489,492,61,12.2,117,6,16169,33674,0,0,0,0,0,0,0,0,1,0,38,15,12,26,15,47066,35078,471,55,11,108,1,21121,20436
4191943697,2016,0,1,0,0,0,1,2,0,7,2,95,46,18,25,27,75809,61478,865,76,15.2,202,3,27206,61703,1,0,1,1,1,0,3,2,4,0,98,37,25,18,44,77016,67375,925,84,16.8,224,6,33906,69155
4191827488,1389,0,0,0,0,1,0,2,0,2,0,44,25,20,35,23,51562,40895,511,58,11.6,103,6,12052,29019,1,1,1,1,0,0,2,1,6,0,64,22,35,20,47,58967,50294,493,67,13.4,155,9,13261,57300
4186297500,1821,1,0,1,1,0,1,3,1,9,1,110,38,40,26,63,100283,66751,685,80,16,206,10,40282,67756,0,1,0,0,1,0,1,0,2,0,81,36,26,40,52,95700,55238,693,73,14.6,153,9,21801,32171
4186224914,1329,1,1,1,0,1,0,2,0,5,0,49,35,34,20,51,73518,48425,513,63,12.6,156,9,18428,46932,0,0,0,0,0,0,1,0,0,0,71,19,20,34,37,58659,41024,524,58,11.6,107,5,30770,18196
4186016838,2310,1,1,1,1,1,1,5,1,7,2,171,60,44,19,99,143619,77247,810,86,17.2,261,8,72639,82317,0,0,0,0,0,0,1,0,2,0,144,70,19,44,35,112214,63054,875,80,16,198,4,25385,24739
4185880938,1822,1,1,1,0,1,1,4,0,9,1,105,53,35,17,62,107076,61215,780,76,15.2,209,8,39301,65171,0,0,0,0,0,0,0,0,1,0,111,38,17,35,26,79191,48970,696,69,13.8,125,4,28271,11610
4183509170,1401,1,0,0,0,0,1,0,0,7,1,55,27,24,15,48,71476,46130,468,63,12.6,146,6,38890,33785,0,1,1,0,1,0,3,0,4,0,53,22,15,24,30,60017,41626,505,60,12,139,3,37676,40304
4183404231,1853,1,0,0,0,0,1,2,0,7,1,83,40,32,30,74,115967,60777,710,75,15,175,8,46400,52092,0,1,1,1,1,0,3,1,5,0,88,42,30,32,55,83508,59506,640,72,14.4,198,5,29061,70758
4169877994,1337,1,1,1,0,1,0,2,0,5,0,58,26,22,7,35,42259,44148,559,61,12.2,126,4,23681,49678,0,0,0,0,0,0,1,0,0,0,63,16,7,22,17,36870,35748,558,56,11.2,144,2,13796,13355
4169807983,1109,1,0,1,0,1,0,2,0,3,0,43,22,19,9,30,52628,37722,484,58,11.6,111,4,20715,38287,0,1,0,0,0,0,0,0,0,0,54,16,9,19,12,45339,29401,402,51,10.2,92,2,24150,11133
4169722149,1816,1,1,1,1,1,1,3,1,7,1,96,35,39,17,64,93498,62756,672,75,15,167,10,31411,66740,0,0,0,0,0,0,1,0,2,0,72,46,17,39,36,75832,51944,673,69,13.8,184,4,34082,21586
4169630150,962,1,1,1,0,1,0,2,0,4,0,51,20,11,2,16,24511,31868,462,52,10.4,122,3,12117,25936,0,0,0,0,0,0,0,0,1,0,45,19,2,11,2,14154,23972,413,45,9,72,1,16432,12154
4163513474,967,0,0,0,0,1,0,1,0,0,0,36,14,4,17,6,22356,23844,389,44,8.8,82,0,7752,8507,1,1,1,0,0,0,1,0,4,0,48,11,17,4,28,30214,33797,381,50,10,94,6,12682,30795
4161051062,2012,0,0,0,0,1,0,2,0,5,0,93,45,18,19,30,91768,55461,758,73,14.6,210,5,45967,59548,1,1,1,1,0,1,3,1,7,1,102,47,19,18,45,99244,60702,760,78,15.6,233,6,56644,65715
4160473191,2323,0,1,1,0,0,0,0,0,4,0,127,60,26,42,51,107890,68529,806,80,16,205,7,34545,52537,1,0,0,1,1,1,5,2,9,2,143,67,41,26,66,100213,76193,782,86,17.2,255,10,24666,119571
4158940409,1459,0,0,0,0,0,0,0,0,2,0,73,20,12,21,18,40148,40642,604,61,12.2,139,3,22666,29566,1,1,1,0,1,0,3,0,4,0,64,31,21,12,35,62586,47279,665,67,13.4,183,3,24143,37611
4158792026,1845,1,1,1,0,1,1,4,1,9,2,71,39,35,25,58,84049,65775,690,79,15.8,221,9,26997,89993,0,0,0,1,0,0,1,1,3,0,85,29,25,35,39,60275,60427,751,75,15,158,6,15773,40996
4158690093,1725,0,0,1,0,0,0,0,0,3,0,70,23,22,47,33,87569,50834,607,67,13.4,141,6,51908,17063,1,1,0,1,1,0,4,1,5,0,94,28,47,22,82,116385,60673,604,77,15.4,178,8,37887,55893
4150560544,951,0,0,0,0,1,0,1,0,0,0,37,18,1,12,3,23320,23282,411,46,9.2,116,0,11617,14852,1,1,1,0,0,0,1,0,1,0,43,13,12,1,13,30998,29217,427,50,10,89,5,12255,12166
4150339701,1348,1,1,1,0,1,1,2,0,8,1,59,11,36,22,54,78880,49800,450,63,12.6,144,8,16763,43836,0,0,0,0,0,0,1,0,1,0,58,20,22,36,36,55151,40584,421,56,11.2,67,5,18700,18398
4150233255,1318,0,1,0,0,0,0,1,0,0,0,55,22,11,28,10,43094,36504,550,57,11.4,136,1,25415,17679,1,0,1,1,1,0,2,1,4,0,60,26,28,11,53,64754,46471,568,64,12.8,136,7,20499,63488
4150072840,1172,1,1,1,0,0,0,1,0,3,0,47,18,21,9,34,55360,37633,446,57,11.4,93,6,23696,36279,0,0,0,0,1,0,2,0,0,0,49,17,8,21,9,29441,30278,449,52,10.4,98,0,8502,16177
4141879503,1925,1,1,1,1,1,1,2,1,8,2,89,44,23,23,51,101088,61668,752,76,15.2,221,6,36198,77293,0,0,0,0,0,0,3,1,2,0,111,41,23,23,59,86200,56827,707,78,15.6,171,6,38985,54391
4141756373,192,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1326,4241,41,11,2.2,0,0,0,70,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1570,5329,46,13,2.6,16,0,1438,0
4141536785,1458,0,0,0,0,1,0,1,0,3,0,60,12,14,26,19,55453,41875,547,61,12.2,131,4,23694,29489,1,1,1,1,0,1,2,1,8,1,65,28,26,14,44,67695,51277,616,69,13.8,152,6,26798,59482
4139317309,1978,0,0,0,0,1,0,3,0,1,0,123,70,5,26,7,46052,51635,864,73,14.6,164,1,18583,44759,1,1,1,1,0,1,2,2,11,3,136,73,26,5,56,66690,68226,876,82,16.4,268,7,26297,93491
4137337572,1545,0,0,1,0,0,0,0,0,3,0,67,31,11,36,16,58678,42389,562,61,12.2,103,2,39094,21263,1,1,0,1,1,1,3,1,9,1,65,22,35,11,54,83288,56787,617,72,14.4,206,9,31019,73473
4137221905,1562,1,0,0,1,0,1,1,1,7,1,69,31,21,16,45,64963,50886,607,70,14,147,4,29133,57632,0,1,1,0,1,0,3,0,4,0,72,33,16,21,25,61379,45821,609,63,12.6,159,2,13375,50216
4136497029,1151,0,0,0,0,0,0,0,0,0,0,53,20,7,21,9,29304,29816,444,49,9.8,102,1,10143,4986,1,1,1,0,1,1,2,0,7,1,55,23,21,7,49,42003,39142,444,55,11,100,6,25040,44024
4135625642,1736,0,1,0,0,1,0,2,0,2,0,90,28,17,36,23,76424,48024,637,67,13.4,151,3,33041,27338,1,0,1,1,0,1,2,1,9,1,85,34,36,17,65,106685,59370,608,75,15,170,7,32671,61562
4135631513,968,0,0,0,0,0,0,0,0,0,0,37,11,2,15,3,23588,22713,333,46,9.2,89,0,13239,9328,1,1,1,0,1,0,2,0,3,0,45,11,15,2,14,32716,31323,415,51,10.2,90,3,15966,25276
4135503804,2236,1,0,0,1,0,1,3,1,9,2,157,43,29,15,69,116394,68766,797,82,16.4,244,7,57011,71630,0,1,1,0,1,0,2,1,4,0,117,87,15,29,33,112249,63635,901,79,15.8,229,4,21672,48738
4135463990,1373,1,1,1,1,0,0,1,1,4,0,58,27,17,8,23,52567,43422,516,65,13,171,4,23594,54129,0,0,0,0,1,0,1,0,1,0,54,16,8,17,6,31689,35316,542,57,11.4,134,1,15599,19223
4132750156,1182,1,1,1,0,1,1,2,0,8,1,40,24,23,10,33,47775,42571,481,59,11.8,104,5,15183,59853,0,0,0,0,0,0,0,0,1,0,51,12,10,23,11,37419,31830,442,51,10.2,102,2,8953,7801
